#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
2755,54507,376,0.08377949,BROADLINE,0.02384765,767.4379,-7.840153,0.7089028,1.177436,1.660927
340,51691,482,0.0837663,AGN BROADLINE,0.02868657,1004.427,-7.444172,1.229248,1.855242,1.509249
367,51997,598,0.0614777,,0.02805919,44.56004,-0.5627213,1.050813,1.237911,1.178051
446,51899,173,0.2175976,BROADLINE,0.02315081,864.0522,-12.26774,3.563388,5.877838,1.649508
450,51908,575,0.1112474,STARBURST BROADLINE,0.0229581,1109.689,-22.56711,0.341556,0.6469482,1.89412
592,52025,240,0.05100438,,0.04467341,39.74822,-0.3664747,0.4835957,0.8888258,1.837952
886,52381,396,0.1621236,STARBURST BROADLINE,0.01163734,2573.339,-19.07003,0.2008139,0.4445043,2.213514
952,52409,232,0.0597778,,0.01568531,35.91306,-0.3591314,1.585048,1.736103,1.0953
2305,54414,115,0.1933094,,0.1242009,523.0571,-3.19212,0.03917255,0.02567921,0.6555409
2481,54086,319,0.06062174,,0.03155204,6.356665,-0.1523006,3.893912,0.5711639,0.1466813
2603,54479,90,0.05387033,,0.02537296,49.93454,-0.3709791,1.083936,1.740844,1.60604
403,51871,550,0.1634896,BROADLINE,0.02893843,3367.793,-15.5128,1.306235,2.322533,1.778036
650,52143,279,0.07390003,STARBURST BROADLINE,0.03201083,2517.656,-19.92488,2.542713,5.163361,2.03065
974,52427,4,0.2075965,STARBURST BROADLINE,0.02800488,1538.251,-8.412434,0.6764649,1.16188,1.717576
1277,52765,332,0.2055347,BROADLINE,0.01941598,1431.322,-10.36662,0.5995306,1.084898,1.80958
2151,54523,395,0.0572172,,0.02682822,52.07384,-0.387391,0.2124826,0.2593757,1.220691
2613,54481,342,0.06355042,AGN BROADLINE,0.02681515,3590.22,-11.70968,1.093161,1.994401,1.824435
2771,54527,419,0.2610683,BROADLINE,0.02582617,1618.641,-14.25335,0.2434501,0.515521,2.117563
2774,54534,430,0.1098744,BROADLINE,0.0324995,1842.363,-5.147871,0.8757405,1.063705,1.214635
414,51901,341,0.1847804,STARBURST BROADLINE,0.1184658,3084.693,-20.807,0.484221,1.155406,2.386113
498,51984,318,0.07506416,STARBURST BROADLINE,0.01333245,3829.025,-31.01656,1.231626,2.829279,2.29719
552,51992,452,0.05744962,,0.02300085,21.93393,-0.4409039,0.7483589,0.8418479,1.124925
721,52228,350,0.06078022,,0.04847138,22.32348,-0.2951777,1.842473,2.963615,1.608499
2364,53737,458,0.08180236,STARBURST BROADLINE,0.03082279,2499.298,-37.89765,0.1944637,0.4479845,2.303692
2758,54523,415,0.05520906,,0.02759658,11.26082,-0.1702033,0.7955433,0.8963369,1.126698
2758,54523,564,0.05564728,,0.03198527,36.36067,-0.2622188,1.433638,6.239376,4.352128
526,52312,537,0.2688896,BROADLINE,0.02380977,1217.897,-9.82467,1.205106,2.358663,1.957225
644,52149,549,0.05896524,BROADLINE,0.03713184,41.12915,-0.4715015,2.222996,11.43099,5.142156
1415,52885,144,0.1534853,STARBURST BROADLINE,0.05673105,5517.438,-27.59008,2.055553,4.428579,2.154447
1610,53144,249,0.1756542,BROADLINE,0.02661542,1434.56,-9.266861,0.6838572,1.19628,1.749313
1795,54507,457,0.153836,STARBURST BROADLINE,0.03453428,4630.266,-13.55527,1.166074,2.131139,1.827619
1806,53559,477,0.06568477,,0.03171784,21.2979,-0.2575647,1.465687,23.14205,15.78922
1948,53388,463,0.05151316,,0.01265944,-0.2144192,-0.036408,-67.8007,1.316288,-0.01941408
2246,53767,512,0.06576235,,0.01285831,-3.351188,-0.003036328,-5.605012,0.7972334,-0.1422358
2341,53738,575,0.05196881,,0.02441659,23.66694,-0.3344702,0.6778576,0.5013244,0.7395718
2770,54510,433,0.1965366,STARBURST BROADLINE,0.02233633,4131.215,-18.49032,0.2777563,0.6814605,2.453447
2972,54586,148,0.08366632,STARBURST BROADLINE,0.03013047,3610.479,-28.1305,0.6722247,1.751991,2.606258
340,51990,485,0.08373255,AGN BROADLINE,0.02868657,1447.242,-10.21055,0.8488361,1.356611,1.598201
491,51942,473,0.05636991,,0.01267224,18.73257,-0.3569266,1.116217,1.255584,1.124857
542,51993,198,0.06201788,,0.05555102,21.97251,-0.2483293,1.063505,0.6953616,0.6538392
789,52342,507,0.1347965,AGN BROADLINE,0.01291334,892.6796,-4.659881,0.7759572,0.9230051,1.189505
1211,52964,96,0.2568103,BROADLINE,0.02328699,2085.891,-13.35962,0.9005882,1.969415,2.186809
1225,52760,9,0.06871108,STARBURST BROADLINE,0.02711669,1617.351,-8.725917,2.760107,4.516329,1.636287
2218,53816,458,0.07323702,BROADLINE,0.01829139,61.31808,-0.5953308,1.068553,1.486851,1.391462
2497,54154,441,0.2716148,BROADLINE,0.01725316,944.9173,-15.74488,0.2583514,0.5117081,1.980667
394,51913,586,0.06703619,,0.02934572,9.687269,-0.2016577,1.758161,1.147343,0.6525812
552,51992,365,0.0575438,,0.02428407,22.86394,-0.4046791,1.454613,1.156152,0.7948171
761,52266,372,0.05618256,BROADLINE,0.04388357,1555.893,-14.62565,2.623075,6.174183,2.353796
883,52430,320,0.1773402,BROADLINE,0.015641,2174.339,-9.267194,3.028183,4.887306,1.61394
1811,53533,122,0.2306872,STARBURST BROADLINE,0.02773762,1004.002,-16.43305,0.4513361,0.9384628,2.079299
2784,54529,75,0.06649079,STARBURST BROADLINE,0.02224456,3676.481,-29.68675,0.665395,1.682358,2.528359
585,52027,368,0.1058275,STARBURST BROADLINE,0.02938451,4298.79,-31.98537,0.2160255,0.4774205,2.210019
1381,53089,447,0.08168268,BROADLINE,0.01165435,1508.802,-12.61329,0.3039684,0.6470062,2.128531
1600,53090,363,0.190513,BROADLINE,0.02776245,367.7924,-4.141082,0.6440513,0.6543786,1.016035
1866,53314,508,0.1415131,STARBURST BROADLINE,0.08946528,4447.396,-15.2922,0.3805769,0.8483391,2.229087
1986,53475,490,0.09574385,BROADLINE,0.0190759,640.7239,-4.365608,0.4794881,0.481512,1.004221
2101,53858,294,0.05936958,,0.01325422,64.0114,-0.6262717,0.7845697,0.7727766,0.9849687
2281,53711,151,0.06521195,STARBURST BROADLINE,0.0230756,2226.578,-11.93965,1.913376,4.90401,2.563015
2656,54484,292,0.05100756,,0.02598047,76.85601,-0.5936761,0.9293637,1.234638,1.328476
